Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
17-022045,2017-05,05/01/2017 8:00,Y, , ,1, ,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,4873,ANDERSON AVE        ,69, , ,4873,ANDERSON,893566.2,1037249
17-023444,2017-05,5/16/2017 22:05,Y, , ,1, ,250000,4,LOITERING-BEGGING                                 ,215,S 8TH ST            ,35, , ,215,8TH,907487.6,1016506
17-023893,2017-05,5/19/2017 5:15,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3152,MOUNT PLEASANT ST   ,25, , ,3152,COMPTON,894193.8,997571.6
17-021999,2017-05,4/25/2017 12:00,Y, , ,1, ,69702,5,LARCENY-ALL OTHER UNDER $500                      ,4717,WASHINGTON AVE      ,38, , ,4717,WASHINGTON,889183.6,1025751
17-026020,2017-05,5/20/2017 12:00,Y, , ,1, ,112020,6,FRAUD-CREDIT DEVICE/UNDER $150                    ,5722,SALOMA AVE          ,72, , ,5722,SALOMA,889675.6,1042780
17-022401,2017-05,4/28/2017 9:30,Y, , ,1, ,69602,3,"LARCENY-ALL OTHER $500 - $24,999                  ",1525,PARK AVE            ,33, , ,1525,PARK,903695.1,1013330
17-021839,2017-05,05/08/2017 17:30,Y, , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,4912,HAMPTON AVE         ,7, , ,4912,HAMPTON,879567.6,1002362
17-022657,2017-05,05/12/2017 22:20,Y, , ,1, ,65701,4,LARCENY-MTR VEH PARTS UNDER $500                  ,0,N 3RD ST / MORGAN ST,35, , ,1915,OLIVE,909969.1,1018825
17-025994,2017-05,5/23/2017 19:00,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,1401,CLARK AVE           ,36,SCOTTRADE CENTER, ,1915,OLIVE,905209.3,1017077
17-024167,2017-05,5/20/2017 8:14,Y, , ,1, ,61701,4,LARCENY-PICKPOCKET UNDER $500                     ,800,PINE ST             ,35, ,@HEADQUARTERS,1915,OLIVE,907783.3,1017500
17-023848,2017-05,5/18/2017 8:00,Y, , ,1, ,51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,3324,CALIFORNIA AVE      ,30, , ,3324,CALIFORNIA,897529.1,1005563
17-022096,2017-05,05/10/2017 0:35,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,1031,WALL ST             ,74, , ,1031,WALL,896186.4,1051112
17-025271,2017-05,5/25/2017 22:30,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,5390,BIRCHER BLVD        ,70, , ,5390,BIRCHER,889864.9,1040303
17-025271,2017-05,5/25/2017 22:30,Y, , ,1, ,43011,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE    ,5390,BIRCHER BLVD        ,70, , ,5390,BIRCHER,889864.9,1040303
17-025765,2017-05,5/29/2017 1:01,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,2337,RUTGER ST           ,32, ,APT A,2337,RUTGER,900528.1,1014530
17-025956,2017-05,5/26/2017 17:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1320,S VANDEVENTER AVE   ,28, , ,1320,VANDEVENTER,891234.1,1016549
17-025515,2017-05,5/26/2017 18:00,Y, , ,1, ,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999               ",4065,WEST PINE BLVD      ,38, , ,4065,WEST PINE,892801.9,1021557
17-022061,2017-05,05/09/2017 20:19,Y, , ,1, ,31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,4100,OHIO AVE            ,16, , ,4100,OHIO,897477.7,1000215
17-017274,2017-05,4/13/2017 9:16,Y, , ,1, ,41014,6,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC           ,4864,CARTER AVE          ,69, , ,4864,CARTER,893916.1,1037579
17-025781,2017-05,5/29/2017 3:43,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,2927,NEBRASKA AVE        ,25, , ,2927,NEBRASKA,897093.2,1008215
17-022445,2017-05,05/10/2017 19:30,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1108,CARR ST,62, , ,1108,CARR,907804.7,1020556
17-025687,2017-05,5/28/2017 12:30,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,830,GEYER AVE           ,21, , ,1915,OLIVE,904653.4,1010434
17-002996,2017-05,1/19/2017 15:10,Y, , ,1, ,183250,5,DRUGS-SALE/COCAINE                                ,4919,SUBURBAN TRACKS ST,53, , ,1915,OLIVE,888498,1027246
17-021960,2017-05,05/06/2017 18:00,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,0,N 11TH ST / SALISBURY ST,65, , ,1915,OLIVE,906468.6,1029947
17-026183,2017-05,5/26/2017 9:40,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL                            ,6250,HOFFMAN AVE         ,11, , ,6250,HOFFMAN,878785.4,1010375
17-022433,2017-05,05/11/2017 16:38,Y, , ,1, ,42011,5,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE        ,5979,LOTUS AVE           ,50, , ,5979,LOTUS,882130.3,1035537
17-023999,2017-05,5/19/2017 14:30,Y, , ,1, ,266510,3,PUBLIC ORDER-TRESPASSING                          ,1438,S GRAND BLVD        ,31, , ,1438,GRAND,895147.3,1015213
17-023494,2017-05,5/17/2017 7:06,Y, , ,1, ,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",2603,IOWA AVE            ,24, , ,2603,IOWA,898311.4,1009560
17-025787,2017-05,5/21/2017 3:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,5719,GOODFELLOW PL       ,50,GOODFELLOW PLACE APARTMENTS COMPLEX,NUISANCE ABATEMENT PROPERTY,5719,GOODFELLOW,885250.8,1037395
17-022473,2017-05,05/11/2017 20:30,Y, , ,1, ,69602,3,"LARCENY-ALL OTHER $500 - $24,999                  ",2616,ACCOMAC ST          ,24, ,REAR YARD,2616,ACCOMAC,899385.6,1010780
17-024378,2017-05,5/18/2017 9:00,Y, , ,1, ,65701,6,LARCENY-MTR VEH PARTS UNDER $500                  ,5970,DRURY LN            ,73, , ,5970,DRURY,892468.3,1048263
17-023992,2017-05,5/19/2017 13:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5540,GREER AVE           ,50, , ,5540,GREER,886585.1,1036140
17-024226,2017-05,5/20/2017 22:30,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,1810,PRESERVATION PL     ,62,PRESERVATION SQUARE, ,1810,PRESERVATION,905376.7,1022408
17-025713,2017-05,5/27/2017 21:30,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT                         ,0,GRAVOIS AVE / NEOSHO ST,5, , ,4581,GRAVOIS,887765.5,1001566
17-025069,2017-05,5/25/2017 0:20,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,1424,PEABODY CT          ,33, , ,1424,PEABODY,904206.2,1013767
17-025335,2017-05,5/26/2017 9:50,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,4402,MINNESOTA AVE       ,17, , ,4402,MINNESOTA,895112.7,998804.8
17-026099,2017-05,5/30/2017 16:30,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3144,CHIPPEWA ST         ,16, , ,3144,CHIPPEWA,895112.8,1002772
17-023443,2017-05,5/16/2017 20:45,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,1000,LEBANON DR          ,34, , ,4123,HULL,905861.1,1013828
17-021515,2017-05,05/07/2017 2:20,Y, , ,1, ,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",5263,EMERSON AVE         ,72, , ,5263,EMERSON,892654.3,1041887
17-026081,2017-05,5/30/2017 15:15,Y, , ,1, ,91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",1305,WARREN ST           ,63, , ,1305,WARREN,906990.3,1025748
17-022589,2017-05,05/12/2017 15:00,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,4106,NEBRASKA AVE        ,16, , ,4106,NEBRASKA,896070.2,1000612
17-026258,2017-05,5/31/2017 11:25,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,0,BRANCH ST / I 70 EASTBOUND,65, , ,8221,MINNESOTA,907167.1,1027712
17-023651,2017-05,5/17/2017 20:25,Y, , ,1, ,41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,3637,MINNESOTA AVE       ,19, , ,3637,MINNESOTA,895700.8,1003713
17-022122,2017-05,05/09/2017 20:00,Y, , ,1, ,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,3844,PARK AVE            ,29, , ,3844,PARK,893465.7,1015056
17-024123,2017-05,5/20/2017 10:55,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3549,MICHIGAN AVE        ,19, , ,3549,MICHIGAN,895465.8,1004312
17-023587,2017-05,5/16/2017 16:00,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT                         ,8508,S BROADWAY          ,2, ,RESIDENCE,8508,BROADWAY,887403.4,985800
17-021783,2017-05,3/28/2017 19:05,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,2028,OBEAR AVE           ,66, , ,2028,OBEAR,902990.6,1033129
17-025948,2017-05,5/23/2017 23:00,Y, , ,1, ,65601,6,"LARCENY-MTR VEH PARTS $500 - $24,999              ",1668,MCLARAN AVE         ,73, , ,1668,MCLARAN,892661,1050040
17-021645,2017-05,05/07/2017 20:50,Y, , ,1, ,41016,1,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC           ,4068,WILMINGTON AVE      ,5, ,STREET,4068,WILMINGTON,886791.2,997032
17-026184,2017-05,5/31/2017 1:50,Y, , ,1, ,31421,1,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS         ,4262,VIRGINIA AVE        ,16, , ,4262,VIRGINIA,894221.4,999675
17-025650,2017-05,5/28/2017 0:54,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,2817,SHENANDOAH AVE      ,24, , ,2817,SHENANDOAH,898025.9,1010520
17-022366,2017-05,06/06/2015 22:00,Y, , ,1, ,69502,4,"LARCENY-ALL OTHER OVER $25,000                    ",700,S LEONOR K SULLIVAN BLVD ,35, , ,1200,WHARF,910021.8,1014572
17-023563,2017-05,05/11/2017 9:00,Y, , ,1, ,51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,6553,WALSH ST            ,8, ,GARAGE BURGLARY,6553,WALSH,875596.8,1001829
17-022345,2017-05,05/11/2017 10:00,Y, , ,1, ,250000,4,LOITERING-BEGGING                                 ,1000,N BROADWAY          ,62, , ,1000,BROADWAY,909758.9,1019796
17-022346,2017-05,05/11/2017 9:00,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",5543,GREER AVE           ,50, , ,5543,GREER,886631.9,1036321
17-023687,2017-05,5/18/2017 6:15,Y, , ,1, ,182250,4,DRUGS-POSSESSION/COCAINE                          ,430,S 15TH ST           ,36, ,@GREYHOUND,430,15TH,904845.8,1016613
17-021983,2017-05,4/29/2017 9:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,2603,HADLEY ST           ,63, ,NUISANCE ABATEMENT PROPERTY,2603,HADLEY,907322.8,1025850
17-023429,2017-05,5/16/2017 19:20,Y, , ,1, ,43016,3,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC           ,2214,MONTANA ST          ,18, , ,2214,MONTANA,898459.9,1000579
17-025069,2017-05,5/25/2017 0:20,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,1424,PEABODY CT          ,33, , ,1424,PEABODY,904206.2,1013767
17-021515,2017-05,05/07/2017 2:20,Y, , ,1, ,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",5263,EMERSON AVE         ,72, , ,5263,EMERSON,892654.3,1041887
17-026081,2017-05,5/30/2017 15:15,Y, , ,1, ,91124,4,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC          ",1305,WARREN ST           ,63, , ,1305,WARREN,906990.3,1025748
17-023651,2017-05,5/17/2017 20:25,Y, , ,1, ,41023,3,AGG.ASSAULT-FIREARM/CITIZEN CHILD 3RD DEGREE      ,3637,MINNESOTA AVE       ,19, , ,3637,MINNESOTA,895700.8,1003713
17-023468,2017-05,5/17/2017 0:40,Y, , ,1, ,83000,4,ARSON-KNOWINGLY BURNING/SUCCESS                   ,414,N 23RD ST           ,36, , ,414,23RD,902457.6,1019827
17-021947,2017-05,05/09/2017 9:15,Y, , ,1, ,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3122,POTOMAC ST          ,19, , ,3122,POTOMAC,895706.1,1004699
17-021819,2017-05,05/08/2017 16:20,Y, , ,1, ,182250,1,DRUGS-POSSESSION/COCAINE                          ,300,MARCEAU ST          ,2, , ,500,HURCK,886931.7,986666.9
17-025318,2017-05,5/25/2017 21:00,Y, , ,1, ,64711,3,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,1114,DOLMAN ST           ,33,ST MARYS ASSUMPTION, ,1114,DOLMAN,903365,1014288
17-024259,2017-05,5/21/2017 1:45,Y, , ,1, ,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",4656,MICHIGAN AVE        ,17, , ,4656,MICHIGAN,894485.6,997001.8
17-021900,2017-05,05/09/2017 3:10,Y, , ,1, ,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",4706,MICHIGAN AVE        ,17, , ,4656,MICHIGAN,894463.4,996865.1
17-019562,2017-05,4/25/2017 15:15,Y, , ,1, ,41016,1,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC           ,808,SCHIRMER ST         ,1, , ,808,SCHIRMER,887187.8,989573.6
17-021709,2017-05,05/07/2017 22:00,Y, , ,1, ,64701,3,LARCENY-FROM MTR VEH UNDER $500                   ,1513,VAIL PL             ,32, , ,1513,VAIL,902461.4,1013543
17-022527,2017-05,05/11/2017 23:00,Y, , ,1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4161,MCPHERSON AVE       ,38, , ,2026,FAIR,892464.4,1022937
17-021632,2017-05,05/07/2017 19:10,Y, , ,1, ,42013,1,AGG.ASSAULT-KNIFE/CITIZEN ADULT 3RD DEGREE        ,4269,LOUISIANA AVE       ,16, , ,4269,LOUISIANA,893624.7,999744.9
17-021262,2017-05,05/05/2017 17:45,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,6431,HAMPTON AVE         ,8,THE BED GUY, ,6417,HAMPTON,878799.6,998058.3
17-022308,2017-05,05/10/2017 20:00,Y, , ,1, ,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,6517,MARQUETTE AVE       ,9, , ,6517,MARQUETTE,877101.3,1007367
17-025798,2017-05,5/29/2017 2:00,Y, , ,1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3816,MICHIGAN AVE        ,16, , ,3816,MICHIGAN,895389.5,1002634
17-021391,2017-05,05/06/2017 11:30,Y, , ,1, ,51130,3,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY            ,3413,SHENANDOAH AVE      ,25, , ,3413,SHENANDOAH,895464.8,1010918
17-025101,2017-05,5/20/2017 10:00,Y, , ,1, ,51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,4018,SHREVE AVE          ,69, , ,4018,SHREVE,893415.4,1035403
17-025682,2017-05,5/28/2017 8:45,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,4524,ATHLONE AVE         ,68, , ,4524,ATHLONE,898841.1,1035479
17-022194,2017-05,05/10/2017 13:47,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA                        ,1000,N BROADWAY          ,62, ,STREET,1000,BROADWAY,909758.9,1019796
17-025329,2017-05,5/22/2017 15:00,Y, , ,1, ,69702,4,LARCENY-ALL OTHER UNDER $500                      ,2528,N 21ST ST           ,60, , ,2528,21ST,904766.5,1025443
17-025148,2017-05,5/25/2017 7:30,Y, , ,1, ,67701,3,LARCENY-FROM BUILDING UNDER $500                  ,1454,CASTLE LN           ,33,PEABODY COMPLEX, ,1454,CASTLE,904092.8,1014542
17-020731,2017-05,05/02/2017 16:05,Y, , ,1, ,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY                    ,3219,DELMAR BLVD         ,77, , ,3219,DELMAR,898876.8,1021750
17-019847,2017-05,01/01/2014 15:08,Y, , ,1, ,67701,4,LARCENY-FROM BUILDING UNDER $500                  ,1315,ELLIOTT AVE         ,59, ,ZION TEMPLE MISSION CHURCH,1315,ELLIOTT,901785.1,1023267
17-023651,2017-05,5/17/2017 20:25,Y, , ,1, ,41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,3637,MINNESOTA AVE       ,19, , ,3637,MINNESOTA,895700.8,1003713
17-023257,2017-05,5/15/2017 23:00,Y, , ,1, ,51212,6,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED       ,5464,VERA AVE            ,71, , ,5464,VERA,896004.3,1039441
17-023540,2017-05,5/14/2017 12:00,Y, , ,1, ,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,2921,PENNSYLVANIA AVE    ,25,2921 PENNSYLVANIA,APARTMENT,2923,PENNSYLVANIA,896782.2,1008366
17-021971,2017-05,4/27/2017 8:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,1420,N 8TH ST            ,62, , ,1420,8TH,909197.8,1021944
17-021698,2017-05,05/08/2017 6:53,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING                          ,320,S BROADWAY          ,35,TUMS BUILDING,TUM S BUILDING,320,BROADWAY,908625.1,1015638
17-021678,2017-05,05/08/2017 2:25,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3302,KEOKUK ST           ,16, , ,3302,KEOKUK,894504.9,1002203
17-026352,2017-05,5/31/2017 21:53,Y, , ,1, ,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,1219,HAMILTON AVE        ,48, , ,1239,HAMILTON,880873.2,1031443
17-026045,2017-05,5/29/2017 23:00,Y, , ,1, ,71030,6,AUTO THEFT-PERM RETNT/JOY RIDE                    ,4976,ROSALIE ST          ,71, , ,4976,ROSALIE,895186.1,1040376
17-021974,2017-05,04/08/2017 16:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,3115,BRANTNER PL         ,59, , ,3115,BRANTNER,899328.4,1024051
17-021860,2017-05,05/08/2017 20:00,Y, , ,1, ,182400,5,DRUGS-POSSESSION/MARIJUANA                        ,5075,MINERVA AVE         ,51, ,METROLINK PLATFORM / STREET,5075,MINERVA,887380.9,1029783
17-021211,2017-05,4/24/2017 14:00,Y, , ,1, ,204100,4,FAMILY & CHILD CRIME-ENDANGR WELF CHILD           ,1451,PRESERVATION PL     ,62,O FALLON PLACE APARTMENTS, ,1451,PRESERVATION,906523.9,1021998
17-024025,2017-05,5/19/2017 15:00,Y, , ,1, ,65701,4,LARCENY-MTR VEH PARTS UNDER $500                  ,1807,BIDDLE ST           ,61, , ,1807,BIDDLE,905410.3,1021594
17-022104,2017-05,05/09/2017 17:00,Y, , ,1, ,91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",6015,CARLSBAD AVE        ,5, ,RESIDENCE,4273,CONNECTICUT,884754.7,998493.1
17-025997,2017-05,5/30/2017 10:00,Y, , ,1, ,51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED       ,4360,ENRIGHT AVE         ,58, , ,4360,ENRIGHT,891939.9,1025419
17-023927,2017-05,05/08/2017 12:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150                     ,4929,TERRY AVE           ,55, , ,4929,TERRY,890431.6,1032961
17-025988,2017-05,5/30/2017 9:08,Y, , ,1, ,182260,1,DRUGS-POSSESSION/METHAMPHETAMINE                  ,5705,DEWEY AVE           ,3, , ,5705,DEWEY,889210.8,996180.8
17-025794,2017-05,5/29/2017 7:05,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,4620,PENROSE ST          ,69, , ,4620,PENROSE,894994.8,1035561
17-023528,2017-05,5/16/2017 18:00,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500                  ,7818,PENNSYLVANIA AVE    ,2, , ,7818,PENNSYLVANIA,888626.6,987741.5
17-023515,2017-05,5/15/2017 17:00,Y, , ,1, ,65701,5,LARCENY-MTR VEH PARTS UNDER $500                  ,4008,W BELLE PL          ,58, , ,4008,BELLE,894182.1,1024708
17-025390,2017-05,5/26/2017 15:09,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,605,WASHINGTON AVE      ,35, , ,605,WASHINGTON,908824.3,1018657
17-021424,2017-05,05/06/2017 10:45,Y, , ,1, ,51112,2,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED       ,4153,CASTLEMAN AVE       ,27,RESIDENCE, ,4153,CASTLEMAN,890891.6,1013122
17-022174,2017-05,05/08/2017 0:01,Y, , ,1, ,264100,2,HEALTH-SANITATION VIOL                            ,7351,HAMPTON AVE         ,88,WILLMORE PARK, ,6333,OLEATHA,878673.8,995452.4
17-022580,2017-05,05/12/2017 14:12,Y, , ,1, ,41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,4234,DEWEY AVE           ,16, , ,4234,DEWEY,892380.8,1000596
17-021531,2017-05,05/06/2017 23:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3717,MICHIGAN AVE        ,19, , ,3717,MICHIGAN,895304.9,1003307
17-022237,2017-05,05/09/2017 8:00,Y, , ,1, ,73313,3,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48    ,1037,GEYER AVE           ,21, , ,1037,GEYER,903904.8,1010842
17-021609,2017-05,05/07/2017 17:15,Y, , ,1, ,67701,2,LARCENY-FROM BUILDING UNDER $500                  ,4621,BECK AVE            ,15,BOMBER O BRIENS BAR, ,4621,BECK,885916,1004889
17-025895,2017-05,5/29/2017 14:57,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION      ,3853,WISCONSIN AVE       ,18, , ,3853,WISCONSIN,899383.5,1001651
17-025828,2017-05,5/29/2017 12:10,Y, , ,1, ,41013,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,1,MARYLAND PLZ        ,38, , ,6177,DELMAR,888340.1,1023682
17-025946,2017-05,5/29/2017 21:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,5977,JULIAN AVE          ,48, , ,5977,JULIAN,880341.3,1032306
17-023869,2017-05,5/18/2017 21:50,Y, , ,1, ,42012,5,AGG.ASSAULT-KNIFE/CITIZEN ADULT 2ND DEGREE        ,5201,PAGE BLVD           ,51, , ,5201,PAGE,886276.6,1029589
17-022147,2017-05,05/10/2017 9:20,Y, , ,1, ,34421,4,ROBBERY-CONVEN STOR/STRNGARM/NO INJ/SUCCESS       ,2020,OLIVE ST,36,JR MARKET, ,2020,OLIVE,903247,1019061
17-021066,2017-05,05/04/2017 17:48,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT                         ,5035,GRAVOIS AVE         ,5, , ,5035,GRAVOIS,886398.8,1000368
17-024021,2017-05,5/19/2017 14:30,Y, , ,1, ,65701,4,LARCENY-MTR VEH PARTS UNDER $500                  ,1807,BIDDLE ST           ,61, , ,1807,BIDDLE,905410.3,1021594
17-023499,2017-05,5/16/2017 20:40,Y, , ,1, ,51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,4216,OLIVE ST,38, ,VICTIMS GARAGE,4216,OLIVE,892342.3,1023627
17-026133,2017-05,5/26/2017 13:00,Y, , ,1, ,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,5504,DEVONSHIRE AVE      ,7, , ,5504,DEVONSHIRE,881378.1,1002937
17-024224,2017-05,5/20/2017 22:25,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,4955,DR MARTIN LUTHER KING DR,55, , ,4955,DR MARTIN LUTHER KING,888659.5,1030338
17-022134,2017-05,05/09/2017 20:00,Y, , ,1, ,69702,4,LARCENY-ALL OTHER UNDER $500                      ,2712,N 21ST ST           ,60, , ,2712,21ST,904894.6,1025921
17-021517,2017-05,05/07/2017 3:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,706,UNION BLVD          ,51, , ,706,UNION,885051.3,1026669
17-022580,2017-05,05/12/2017 14:12,Y, , ,1, ,41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,4234,DEWEY AVE           ,16, , ,4234,DEWEY,892380.8,1000596
17-022269,2017-05,05/10/2017 18:00,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4222,KOSSUTH AVE         ,68, , ,4222,KOSSUTH,897675.9,1033221
17-025870,2017-05,5/29/2017 17:00,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL     ,5931,HIGHLAND AVE        ,50, , ,5800,MAFFITT,883028.4,1035537
17-024422,2017-05,5/21/2017 22:44,Y, , ,1, ,151140,3,WEAPONS-STATE VIOL/UNLWFL USE/DISCHARGING         ,2715,MERAMEC ST          ,16, ,EAST GANGWAY,2709,MERAMEC,897031.8,999986.7
17-022505,2017-05,05/11/2017 19:00,Y, , ,1, ,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,4365,ENRIGHT AVE         ,58, , ,4364,ENRIGHT,891897,1025601
17-022354,2017-05,05/09/2017 17:30,Y, , ,1, ,65601,6,"LARCENY-MTR VEH PARTS $500 - $24,999              ",8634,PARK LN             ,73, , ,8634,PARK,892418.2,1049829
